,model,network_type,Network,Dataset,ncut,ave_in_out,n_samples,mean,stdev,z_score,percentile,train_acc,train_loss,test_acc,test_loss
45,FASHION+L1REG,mlp,L1 Reg,FASHION,8.35092817996227,0.2184830081998272,50,7.123150359186873,0.10309379119440464,11.909328452769468,1.0,0.9057166576385498,0.3671410401980082,0.8844000101089478,0.4301232568740845
46,FASHION+L1REG,mlp,L1 Reg,FASHION,8.273118105311049,0.2252404623775663,50,7.195271713045267,0.10469406049707032,10.295200961242145,1.0,0.9064666628837585,0.361129545434316,0.8844000101089478,0.44041726207733156
47,FASHION+L1REG,mlp,L1 Reg,FASHION,8.405722057706818,0.213799475977067,50,7.2299893287060435,0.09796016775490084,12.002151036965266,1.0,0.9066333174705505,0.36613563237190244,0.8830999732017517,0.43790555782318114
48,FASHION+L1REG,mlp,L1 Reg,FASHION,8.666527018303949,0.19231884783002826,50,7.17511255610303,0.131469762110788,11.344163389784807,1.0,0.9063666462898254,0.36825525027910866,0.8748000264167786,0.44497682876586914
49,FASHION+L1REG,mlp,L1 Reg,FASHION,8.337719429158678,0.2196212406736542,50,7.348044675335887,0.08375486627999432,11.816325400297192,1.0,0.9078500270843506,0.3632138761520386,0.8756999969482422,0.4680559176445007
50,FASHION+L2REG,mlp,L2 Reg,FASHION,9.385124537461481,0.1393095771985248,50,9.226625668195688,0.07325811649289714,2.163567354085071,0.9803921568627451,0.9109333157539368,0.3305167757987976,0.8822000026702881,0.4217570280075073
51,FASHION+L2REG,mlp,L2 Reg,FASHION,9.560956534941976,0.12755227241877773,50,9.217490751996262,0.05867369857445762,5.853828739121527,1.0,0.912850022315979,0.3242401403903961,0.8734999895095825,0.4438781852722168
52,FASHION+L2REG,mlp,L2 Reg,FASHION,9.401089349274413,0.13822390970713275,50,9.202265877550142,0.07245891074467463,2.743947841347915,0.9803921568627451,0.9142666459083557,0.32236834460894265,0.8784000277519226,0.4223405475616455
53,FASHION+L2REG,mlp,L2 Reg,FASHION,9.488717571611081,0.13232991758034435,50,9.20704257389302,0.06473747250567999,4.351034830612948,1.0,0.9152666926383972,0.3214071538289388,0.8740000128746033,0.4624206615447998
54,FASHION+L2REG,mlp,L2 Reg,FASHION,9.503275221780468,0.13136127913549805,50,9.069486776435314,0.06947919290274417,6.243429539435847,1.0,0.9140499830245972,0.3166395941098531,0.8851000070571899,0.4079765389919281
