,model,network_type,Network,ncut,ave_in_out,n_samples,mean,stdev,z_score,percentile,train_acc,train_loss,test_acc,test_loss
28,CNN-VGG-CIFAR10+MOD-INIT,cnn,Clusterable Init,8.968513078274759,0.1690072197736259,50,4.36357614831371,0.19481834970572917,23.637080064155928,1.0,0.9577914476394653,0.40249691576282415,0.8945000171661377,0.6705538728569127
29,CNN-VGG-CIFAR10+MOD-INIT,cnn,Clusterable Init,6.650869194613188,0.4021377243232579,50,3.6280080210238146,0.23111483044871395,13.079477278547765,1.0,0.9573317170143127,0.40108675933801213,0.901199996471405,0.675084003542043
30,CNN-VGG-CIFAR10,cnn,"Control, Pruning",8.268065256054406,0.22568367740039502,50,4.190266170283323,0.18985995324741928,21.477931580742723,1.0,0.9731512665748596,0.21569623397277798,0.9075000286102295,0.4915417904340768
31,CNN-VGG-CIFAR10,cnn,"Control, Pruning",8.00665681730313,0.2493764422415911,50,4.617525043339252,0.20222740208252496,16.75901356128207,1.0,0.9735322594642639,0.21861789495297873,0.9103999733924866,0.5012604367883899
32,CNN-VGG-CIFAR10,cnn,"Control, Pruning",7.89495261412292,0.25997922891479736,50,3.848739948857235,0.1867782158117917,21.663193684979184,1.0,0.9734921455383301,0.2181662632595242,0.9099000096321106,0.5251201308226283
33,CNN-VGG-CIFAR10,cnn,"Control, Pruning",8.2910145685802,0.2236750038695775,50,2.1127542885382824,0.2515014161096589,24.565508916848767,1.0,0.9741538166999817,0.21298209434141516,0.9043999910354614,0.5498078729532943
34,CNN-VGG-CIFAR10,cnn,"Control, Pruning",8.205782597870327,0.23119168445398489,50,3.24380456086946,0.23367393600389502,21.23462343236328,1.0,0.9762792587280273,0.20529473864347614,0.9107000231742859,0.5076150315094597
35,CNN-VGG-CIFAR10+L1REG,cnn,"L1 Reg, Pruning",6.850708616483795,0.37582180704097284,50,0.384911743627504,0.028575765314643568,226.26854614959032,1.0,0.9297201037406921,0.5211500850938473,0.8805000185966492,0.7043253568154347
36,CNN-VGG-CIFAR10+L1REG,cnn,"L1 Reg, Pruning",3.5983099572028974,1.1674494613754807,50,0.7551303734165106,0.09726077582499336,29.23254065855156,1.0,0.9314645528793335,0.5296135195792391,0.8845000267028809,0.7210228224343891
37,CNN-VGG-CIFAR10+L1REG,cnn,"L1 Reg, Pruning",4.537697476760145,0.8222565035966037,50,0.9257087043595155,0.0338288976703788,106.77228704272422,1.0,0.9303686022758484,0.5262140566721941,0.8812999725341797,0.7189554911625536
