,model,network_type,Network,Dataset,ncut,ave_in_out,n_samples,mean,stdev,z_score,percentile,train_acc,train_loss,test_acc,test_loss
55,CNN-FASHION+MOD-INIT,cnn,Clusterable Init,FASHION,10.593029150759657,0.06641022266701894,50,10.658421682225542,0.017140330299540242,-3.8151266821059844,0.0196078431372549,0.9813666939735413,0.04954818981786569,0.9244999885559082,0.3338955430030823
56,CNN-FASHION+MOD-INIT,cnn,Clusterable Init,FASHION,10.590815136985192,0.06652863093104415,50,10.684737969198942,0.016273733490720133,-5.771437283725194,0.0196078431372549,0.9833499789237976,0.04519107284626613,0.9218000173568726,0.3276134846329689
57,CNN-FASHION+MOD-INIT,cnn,Clusterable Init,FASHION,10.575280319532279,0.06736084706124994,50,10.670186655638448,0.020962714105090166,-4.527387800567459,0.0196078431372549,0.981333315372467,0.05024858482178921,0.9204999804496765,0.29984076001644133
58,CNN-FASHION+MOD-INIT,cnn,Clusterable Init,FASHION,10.565242841301796,0.06789986658373014,50,10.651101645702859,0.017298012164641902,-4.96350699628731,0.0196078431372549,0.9818000197410583,0.04883468830672403,0.919700026512146,0.33385501036643983
59,CNN-FASHION+MOD-INIT,cnn,Clusterable Init,FASHION,10.546151099631722,0.06892793809957112,50,10.645785259624583,0.018849239467530872,-5.285845095473927,0.0196078431372549,0.9833833575248718,0.045733918324361245,0.9174000024795532,0.3434914264082909
60,CNN-STACKED-FASHION,cnn,Stacked Diff,FASHION,10.602535793350105,0.06590235741181757,50,10.55544393296945,0.019695573909893856,2.3909869596132727,1.0,0.8738833069801331,0.3368504240512848,0.7017999887466431,1.0520321252822875
61,CNN-STACKED-FASHION,cnn,Stacked Diff,FASHION,10.457205102695555,0.07376707648713703,50,10.571193235278939,0.02237944353540014,-5.093430156253672,0.0196078431372549,0.833216667175293,0.4494972032705943,0.6912999749183655,0.9593462656974793
62,CNN-STACKED-FASHION,cnn,Stacked Diff,FASHION,10.467321012094583,0.07321257206760286,50,10.530062820561996,0.019670760902514222,-3.1895974323694616,0.0196078431372549,0.8602166771888733,0.37477037017345427,0.7074000239372253,1.0099001876831055
63,CNN-STACKED-FASHION,cnn,Stacked Diff,FASHION,10.558319396274733,0.06827225762056091,50,10.61364847185762,0.017224806799353037,-3.212173943510605,0.0196078431372549,0.8683000206947327,0.3566825347026189,0.7077000141143799,1.020662695503235
64,CNN-STACKED-FASHION,cnn,Stacked Diff,FASHION,10.533303490038318,0.06962186703102136,50,10.562860866835143,0.021702248744012616,-1.3619499594473992,0.0784313725490196,0.8664000034332275,0.3581594625631968,0.7059999704360962,1.0348170026779175
65,CNN-STACKED-SAME-FASHION,cnn,Stacked Same,FASHION,10.733906516350293,0.05897636064377613,50,10.720192284078712,0.016651817648981188,0.8235877043981941,0.8235294117647058,0.9925166964530945,0.019719421177869664,0.9587000012397766,0.1755473926059378
66,CNN-STACKED-SAME-FASHION,cnn,Stacked Same,FASHION,10.690144705856909,0.061264619431458577,50,10.704826413966746,0.020032046130866038,-0.732911057309062,0.2549019607843137,0.9918833374977112,0.02204288160853709,0.9577999711036682,0.18622007707059382
67,CNN-STACKED-SAME-FASHION,cnn,Stacked Same,FASHION,10.682191430529196,0.0616825011066816,50,10.697644915619556,0.018344064439600932,-0.8424242697817302,0.21568627450980393,0.9917500019073486,0.022213437966179722,0.9538000226020813,0.1741101840041578
68,CNN-STACKED-SAME-FASHION,cnn,Stacked Same,FASHION,10.690673493962464,0.061236857845157054,50,10.69090619874694,0.0173912028713119,-0.013380603181878314,0.5490196078431373,0.9916499853134155,0.02249787622381312,0.958299994468689,0.18151647286713124
69,CNN-STACKED-SAME-FASHION,cnn,Stacked Same,FASHION,10.709991206484625,0.06022454961187586,50,10.702111431804134,0.013797739638308769,0.5710917068338832,0.6666666666666666,0.9917833209037781,0.021846925281904017,0.9610000252723694,0.1725687185822986
70,CNN-MNIST,cnn,"Control, Pruning",MNIST,10.610300237777444,0.06548823930894049,50,10.077071244257002,0.04860410007793936,10.970864446937194,1.0,1.0,0.00015759011634111934,0.9922999739646912,0.038595202828610856
71,CNN-MNIST,cnn,"Control, Pruning",MNIST,10.435463010676528,0.07496250946042318,50,10.071686063389114,0.036156283887085354,10.06123716761035,1.0,0.9999666810035706,0.00025733066921581363,0.9934999942779541,0.03405921109932692
72,CNN-MNIST,cnn,"Control, Pruning",MNIST,10.449707602010687,0.07417874533116182,50,9.94286176481532,0.03710617981048838,13.659337603169355,1.0,0.9999333620071411,0.0005215009410898953,0.993399977684021,0.03156431297018862
73,CNN-MNIST,cnn,"Control, Pruning",MNIST,10.417817285349193,0.07593638241649071,50,10.024624270306322,0.035271398738824886,11.147644525082702,1.0,1.0,0.0001503367018687868,0.992900013923645,0.032120939037992596
74,CNN-MNIST,cnn,"Control, Pruning",MNIST,10.397995951816748,0.0770342696615182,50,10.05361607244808,0.03723690033464053,9.248349789423822,1.0,0.9999833106994629,0.00020724033544198997,0.9939000010490417,0.02976342851031983
75,CNN-MNIST+DROPOUT,cnn,"Dropout, Pruning",MNIST,10.102667603270943,0.09390254491371952,50,10.062721317151114,0.03813555075150618,1.0474815580905452,0.803921568627451,0.9752500057220459,0.07918979853987694,0.9941999912261963,0.020742880361899734
76,CNN-MNIST+DROPOUT,cnn,"Dropout, Pruning",MNIST,10.277737681770988,0.08378606126928524,50,10.056815918995119,0.03771857946273839,5.857107184911748,1.0,0.9735333323478699,0.08386381676842769,0.9929999709129333,0.019558041699416936
77,CNN-MNIST+DROPOUT,cnn,"Dropout, Pruning",MNIST,10.264662666027686,0.08452968160929689,50,10.080265486578918,0.045786051857343794,4.027365801779465,1.0,0.9750000238418579,0.08405495330691337,0.993399977684021,0.019682074439525604
78,CNN-MNIST+DROPOUT,cnn,"Dropout, Pruning",MNIST,10.445087100056023,0.07443273976794493,50,10.068877368143433,0.03396168410333901,11.077475744955844,1.0,0.9752166867256165,0.08051798027455807,0.9930999875068665,0.021895542204380034
79,CNN-MNIST+DROPOUT,cnn,"Dropout, Pruning",MNIST,10.247286276858985,0.08552087234544695,50,10.09666123376661,0.03985352535097728,3.779465976117977,1.0,0.9711833596229553,0.08848306280275185,0.993399977684021,0.01980663661006838
80,CNN-MNIST+L1REG,cnn,"L1 Reg, Pruning",MNIST,10.430997376219766,0.07520865777213176,50,2.950585986575127,0.32513010256265185,23.007440192970687,1.0,0.995033323764801,0.05856437079111735,0.9907000064849854,0.07256005174517631
81,CNN-MNIST+L1REG,cnn,"L1 Reg, Pruning",MNIST,7.402232495068984,0.3105662722694694,50,3.477380406109577,0.2443303825657599,16.063708687162794,1.0,0.9948499798774719,0.06043603772719701,0.9911999702453613,0.0736166744172573
82,CNN-MNIST+L1REG,cnn,"L1 Reg, Pruning",MNIST,10.589173083531815,0.06661648201134282,50,3.667277133762848,0.23038482477074587,30.044930071487524,1.0,0.9947999715805054,0.05955373571912448,0.9907000064849854,0.07161679039001465
83,CNN-MNIST+L1REG,cnn,"L1 Reg, Pruning",MNIST,8.162764380771888,0.2350451048340351,50,2.1230013009480033,0.2800949235585044,21.563272204618656,1.0,0.9948999881744385,0.05614765252272288,0.991100013256073,0.07039430975317955
84,CNN-MNIST+L1REG,cnn,"L1 Reg, Pruning",MNIST,9.979828393094374,0.10121274271126246,50,3.028775640698011,0.3006693655680432,23.118593207073168,1.0,0.9949166774749756,0.057260992697874706,0.9904999732971191,0.07474948644638062
85,CNN-MNIST+L2REG,cnn,"L2 Reg, Pruning",MNIST,10.610319248561245,0.06548722610901621,50,9.82814904757506,0.05180181815879649,15.0992808512719,1.0,0.9989833235740662,0.01816475778023402,0.991599977016449,0.040552446000278
86,CNN-MNIST+L2REG,cnn,"L2 Reg, Pruning",MNIST,10.754644419718755,0.057898500948942215,50,9.809176813034332,0.05070848019116221,18.645157636753716,1.0,0.9986666440963745,0.01852372308174769,0.9922000169754028,0.038316710163652894
87,CNN-MNIST+L2REG,cnn,"L2 Reg, Pruning",MNIST,10.741146849151265,0.0585995689533006,50,9.745546115482147,0.06051489759528452,16.452159273697553,1.0,0.9987000226974487,0.018927891920010247,0.9921000003814697,0.04352874060273171
88,CNN-MNIST+L2REG,cnn,"L2 Reg, Pruning",MNIST,10.859952312280386,0.052488613897063496,50,9.718851585339667,0.07519911682692557,15.174390007358967,1.0,0.99836665391922,0.019617859532435736,0.9922999739646912,0.04221535983681679
89,CNN-MNIST+L2REG,cnn,"L2 Reg, Pruning",MNIST,10.802338671511022,0.05543527956809791,50,9.719426210857698,0.05555118138636021,19.493959149520755,1.0,0.9987666606903076,0.018570403964817524,0.9923999905586243,0.03959427061080933
90,CNN-MNIST+MOD-INIT,cnn,"Clusterable Init, Pruning",MNIST,10.163423854782092,0.09035223618828818,50,9.996221940264,0.036836622441916454,4.5390131731467465,1.0,0.9998666644096375,0.0005147531733760085,0.9923999905586243,0.030453708822550107
91,CNN-MNIST+MOD-INIT,cnn,"Clusterable Init, Pruning",MNIST,10.14315178524376,0.09153211221080118,50,10.000601033059397,0.0405946356876749,3.5115662394685105,1.0,0.9999833106994629,0.00028905169113985115,0.9926999807357788,0.03880141799427456
92,CNN-MNIST+MOD-INIT,cnn,"Clusterable Init, Pruning",MNIST,10.247007710171703,0.08553678983222528,50,10.021763730039584,0.03698203966861892,6.090631618765177,1.0,0.9999833106994629,0.0001590994829241822,0.9929999709129333,0.037495796990293456
93,CNN-MNIST+MOD-INIT,cnn,"Clusterable Init, Pruning",MNIST,10.083896586007343,0.09500808529965925,50,9.982483248084128,0.04367589553533568,2.321952112949072,1.0,1.0,0.00017939512496679982,0.9940999746322632,0.03094505047632374
94,CNN-MNIST+MOD-INIT,cnn,"Clusterable Init, Pruning",MNIST,10.100297425554196,0.09404191254999446,50,10.004754816675593,0.03729562071427616,2.561764814441887,1.0,0.9999499917030334,0.0002523771870318645,0.9927999973297119,0.030573385358768974
95,CNN-STACKED-MNIST,cnn,"Stacked Diff, Pruning",MNIST,10.47374008043008,0.07286126578707536,50,9.993918397060483,0.03978729647398386,12.059670444895467,1.0,0.9788166880607605,0.06852612846692403,0.9054999947547913,0.389707009267807
96,CNN-STACKED-MNIST,cnn,"Stacked Diff, Pruning",MNIST,10.09747227002761,0.09420811858130446,50,9.972074082951076,0.03767039722924655,3.328825717271113,1.0,0.98253333568573,0.056153937861323354,0.9049999713897705,0.389772166967392
97,CNN-STACKED-MNIST,cnn,"Stacked Diff, Pruning",MNIST,10.10646319708608,0.09367949825710878,50,10.013425178133991,0.036388626269890575,2.556788438839008,1.0,0.9799500107765198,0.06430799388885498,0.9023000001907349,0.4022419722557068
98,CNN-STACKED-MNIST,cnn,"Stacked Diff, Pruning",MNIST,10.16621844233755,0.09018995450784367,50,10.05695468186131,0.03590860623615099,3.042829336167307,1.0,0.9749500155448914,0.07666989662448565,0.8981000185012817,0.4146921332836151
99,CNN-STACKED-MNIST,cnn,"Stacked Diff, Pruning",MNIST,10.279362852926152,0.08369376447218455,50,10.056721776216394,0.045954001256889476,4.844868142496718,1.0,0.9745000004768372,0.08017364000876745,0.9000999927520752,0.4193843806743622
100,CNN-STACKED-SAME-MNIST,cnn,"Stacked Same, Pruning",MNIST,10.446308462986865,0.07436557816180434,50,9.996554992530067,0.03930340414493729,11.443117466320826,1.0,1.0,1.6994838923124196e-05,0.9994999766349792,0.0029038516869820336
101,CNN-STACKED-SAME-MNIST,cnn,"Stacked Same, Pruning",MNIST,10.34443634935645,0.08002193617569826,50,9.948907160021044,0.036612185349192534,10.803211705693199,1.0,1.0,2.4390256585013502e-05,0.9991999864578247,0.0019701363889243397
102,CNN-STACKED-SAME-MNIST,cnn,"Stacked Same, Pruning",MNIST,10.241856353003747,0.08583129788188354,50,9.93683950035411,0.03736894565902713,8.162308228676395,1.0,1.0,3.741167384629686e-05,0.9993000030517578,0.0028330403694102188
103,CNN-STACKED-SAME-MNIST,cnn,"Stacked Same, Pruning",MNIST,10.432211772085665,0.075141698719604,50,9.97388642524333,0.041572985423977575,11.024595471510008,1.0,1.0,1.536914322868815e-05,0.9993000030517578,0.0027979183428596165
104,CNN-STACKED-SAME-MNIST,cnn,"Stacked Same, Pruning",MNIST,10.269207837940051,0.08427096760401803,50,9.989907879184331,0.04524336218626996,6.173280350072646,1.0,1.0,1.9231619862504583e-05,0.9994000196456909,0.002527051671373181
105,CNN-FASHION,cnn,"Control, Pruning",FASHION,10.48112912501015,0.07245740687258152,50,10.117287019198372,0.03359225037406083,10.831132233187018,1.0,0.9941166639328003,0.019239558195819458,0.920799970626831,0.3763198387622833
106,CNN-FASHION,cnn,"Control, Pruning",FASHION,10.196184948676821,0.0884553909331187,50,10.040991996090343,0.050633782127078614,3.065008104608532,1.0,0.9958500266075134,0.01589542783424258,0.9204999804496765,0.40301873857975007
107,CNN-FASHION,cnn,"Control, Pruning",FASHION,10.344458431279408,0.08002069802487638,50,10.04263871728342,0.03841678055460751,7.856455164611368,1.0,0.9945833086967468,0.01824745845720172,0.9197999835014343,0.39976020419597624
108,CNN-FASHION,cnn,"Control, Pruning",FASHION,10.38418593308307,0.07780167253020252,50,10.03794052639739,0.03580365929164952,9.670670918445342,1.0,0.995199978351593,0.01733007251662202,0.9244999885559082,0.3807158351400867
109,CNN-FASHION,cnn,"Control, Pruning",FASHION,10.477010170390358,0.07268246402555978,50,10.06129586631974,0.04707642464640388,8.830626097735589,1.0,0.9957333207130432,0.015328495818904291,0.9261999726295471,0.38286358968596906
110,CNN-FASHION+DROPOUT,cnn,"Dropout, Pruning",FASHION,9.930989048380653,0.10416943073543719,50,9.927518729104582,0.04362618995117954,0.07954669614637586,0.6274509803921569,0.8651333451271057,0.37019899044036864,0.9043999910354614,0.2607829636335373
111,CNN-FASHION+DROPOUT,cnn,"Dropout, Pruning",FASHION,10.037353167594748,0.09776715034505264,50,9.945203081561226,0.04072744065568641,2.2626043903069495,0.9803921568627451,0.859250009059906,0.38733848344484967,0.90420001745224,0.26409500975608824
112,CNN-FASHION+DROPOUT,cnn,"Dropout, Pruning",FASHION,9.906931083823265,0.10563659414137062,50,9.955742621668913,0.04273604870496826,-1.1421630994157204,0.17647058823529413,0.860966682434082,0.39046674537658693,0.899399995803833,0.27048800082206725
113,CNN-FASHION+DROPOUT,cnn,"Dropout, Pruning",FASHION,10.09626753778974,0.09427902217748782,50,9.940704913377347,0.04677255379047253,3.3259382224299525,1.0,0.8607333302497864,0.3661401539166768,0.9042999744415283,0.2567685886621475
